Year,CPI,Unemployment,Inflation,Federal Funds
1998,163.0083333,4.5,NA,5.352012929
1999,166.5833333,4.216666667,2.19313941,4.971368984
2000,172.1916667,3.966666667,3.366683342,6.236422012
2001,177.0416667,4.741666667,2.816628757,3.887125064
2002,179.8666667,5.783333333,1.595669569,1.667174539
2003,184,5.991666667,2.297998517,1.127535202
2004,188.9083333,5.541666667,2.667572464,1.348927821
2005,195.2666667,5.083333333,3.365829988,3.21284415
2006,201.5583333,4.608333333,3.22208945,4.962731055
2007,207.3441667,4.616666667,2.870550296,5.018884729
2008,215.25425,5.8,3.814953399,1.926586145
2009,214.5646667,9.283333333,-0.320357593,0.159082693
2010,218.0761667,9.608333333,1.63656955,0.176003456
2011,224.923,8.933333333,3.139652277,0.101815476
2012,229.5860833,8.075,2.073190974,0.140493511
2013,232.95175,7.358333333,1.465971551,0.107575269
2014,236.715,6.158333333,1.615463288,0.088348438
2015,237.00175,5.275,0.121137233,0.133466334
2016,240.0054167,4.875,1.267360543,0.393027809
2017,245.121,4.358333333,2.13144495,1.000797555
2018,251.0995,3.891666667,2.438999515,1.832437724
2019,255.6516667,3.683333333,1.812893561,2.158595878
2020,258.8505833,8.091666667,1.25127941,0.375562384
2021,270.9714167,5.366666667,4.682559791,0.078637481
2022,292.6125,3.641666667,7.986481969,1.682150538
